Date,Product_ID,Sales,Inventory_Required
2023-02-27,P101,138.0,151.0
2023-02-28,P101,144.0,161.0
2023-03-01,P101,149.0,162.0
2023-03-02,P101,138.0,154.0
2023-03-03,P101,141.0,166.0
2023-03-04,P101,134.0,153.0
2023-03-05,P101,133.0,147.0
2023-03-06,P101,150.0,171.0
2023-03-07,P101,154.0,167.0
2023-03-08,P101,143.0,148.0
2023-03-09,P101,152.0,162.0
2023-03-10,P101,147.0,153.0
2023-03-11,P101,140.0,153.0
2023-03-12,P101,148.0,163.0
2023-03-13,P101,158.0,181.0
2023-03-14,P101,146.0,162.0
2023-03-15,P101,159.0,173.0
2023-03-16,P101,126.0,145.0
2023-03-17,P101,154.0,158.0
2023-03-18,P101,148.0,164.0
2023-03-19,P101,145.0,164.0
2023-03-20,P101,149.0,156.0
2023-03-21,P101,133.0,153.0
2023-03-22,P101,147.0,164.0
2023-03-23,P101,152.0,165.0
2023-03-24,P101,161.0,180.0
2023-03-25,P101,146.0,172.0
2023-03-26,P101,144.0,160.0
2023-03-27,P101,147.0,163.0
2023-03-28,P101,158.0,171.0
2023-03-29,P101,154.0,165.0
2023-03-30,P101,148.0,167.0
2023-03-31,P101,156.0,167.0
2023-04-01,P101,153.0,169.0
2023-04-02,P101,161.0,173.0
2023-04-03,P101,148.0,165.0
2023-04-04,P101,151.0,168.0
2023-04-05,P101,151.0,171.0
2023-04-06,P101,143.0,155.0
2023-04-07,P101,157.0,171.0
2023-04-08,P101,157.0,167.0
2023-04-09,P101,155.0,168.0
2023-04-10,P101,154.0,171.0
2023-04-11,P101,145.0,164.0
2023-04-12,P101,153.0,163.0
2023-04-13,P101,154.0,173.0
2023-04-14,P101,151.0,173.0
2023-04-15,P101,156.0,173.0
2023-04-16,P101,161.0,185.0
2023-04-17,P101,173.0,184.0
2023-04-18,P101,160.0,169.0
2023-04-19,P101,161.0,167.0
2023-04-20,P101,159.0,181.0
2023-04-21,P101,144.0,163.0
2023-04-22,P101,160.0,175.0
2023-04-23,P101,161.0,177.0
2023-04-24,P101,180.0,190.0
2023-04-25,P101,160.0,187.0
2023-04-26,P101,164.0,180.0
2023-04-27,P101,162.0,177.0
2023-04-28,P101,153.0,171.0
2023-04-29,P101,172.0,189.0
2023-04-30,P101,169.0,185.0
2023-05-01,P101,170.0,181.0
2023-05-02,P101,156.0,174.0
2023-05-03,P101,175.0,200.0
2023-05-04,P101,153.0,175.0
2023-05-05,P101,169.0,192.0
2023-05-06,P101,183.0,195.0
2023-05-07,P101,158.0,168.0
2023-05-08,P101,161.0,176.0
2023-05-09,P101,167.0,182.0
2023-05-10,P101,163.0,183.0
2023-05-11,P101,154.0,161.0
2023-05-12,P101,168.0,190.0
2023-05-13,P101,159.0,173.0
2023-05-14,P101,172.0,185.0
2023-05-15,P101,161.0,171.0
2023-05-16,P101,181.0,188.0
2023-05-17,P101,163.0,182.0
2023-05-18,P101,167.0,182.0
2023-05-19,P101,176.0,185.0
2023-05-20,P101,160.0,169.0
2023-05-21,P101,172.0,186.0
2023-05-22,P101,181.0,205.0
2023-05-23,P101,158.0,172.0
2023-05-24,P101,173.0,181.0
2023-05-25,P101,174.0,188.0
2023-05-26,P101,179.0,192.0
2023-05-27,P101,163.0,164.0
2023-05-28,P101,162.0,177.0
2023-05-29,P101,178.0,191.0
2023-05-30,P101,176.0,195.0
2023-05-31,P101,176.0,200.0
2023-06-01,P101,177.0,198.0
2023-06-02,P101,169.0,183.0
2023-06-03,P101,177.0,187.0
2023-06-04,P101,178.0,206.0
2023-06-05,P101,170.0,185.0
2023-06-06,P101,191.0,206.0
2023-06-07,P101,180.0,195.0
2023-06-08,P101,167.0,183.0
2023-06-09,P101,183.0,197.0
2023-06-10,P101,170.0,182.0
2023-06-11,P101,184.0,197.0
2023-06-12,P101,188.0,203.0
2023-06-13,P101,172.0,185.0
2023-06-14,P101,187.0,198.0
2023-06-15,P101,183.0,198.0
2023-06-16,P101,186.0,200.0
2023-06-17,P101,195.0,218.0
2023-06-18,P101,179.0,180.0
2023-06-19,P101,175.0,195.0
2023-06-20,P101,174.0,195.0
2023-06-21,P101,175.0,180.0
2023-06-22,P101,181.0,195.0
2023-06-23,P101,185.0,198.0
2023-06-24,P101,185.0,193.0
2023-06-25,P101,190.0,201.0
2023-06-26,P101,184.0,193.0
2023-06-27,P101,195.0,219.0
2023-06-28,P101,182.0,202.0
2023-06-29,P101,206.0,228.0
2023-06-30,P101,190.0,209.0
2023-07-01,P101,178.0,188.0
2023-07-02,P101,177.0,189.0
2023-07-03,P101,190.0,207.0
2023-07-04,P101,185.0,193.0
2023-07-05,P101,192.0,211.0
2023-07-06,P101,191.0,205.0
2023-07-07,P101,187.0,200.0
2023-07-08,P101,181.0,200.0
2023-07-09,P101,176.0,193.0
2023-07-10,P101,185.0,198.0
2023-07-11,P101,196.0,217.0
2023-07-12,P101,191.0,201.0
2023-07-13,P101,180.0,198.0
2023-07-14,P101,191.0,209.0
2023-07-15,P101,193.0,207.0
2023-07-16,P101,184.0,200.0
2023-07-17,P101,192.0,201.0
2023-07-18,P101,192.0,212.0
2023-07-19,P101,183.0,197.0
2023-07-20,P101,195.0,207.0
2023-07-21,P101,197.0,217.0
2023-07-22,P101,202.0,213.0
2023-07-23,P101,202.0,210.0
2023-07-24,P101,183.0,190.0
2023-07-25,P101,186.0,204.0
2023-07-26,P101,198.0,207.0
2023-07-27,P101,199.0,223.0
2023-07-28,P101,199.0,204.0
2023-07-29,P101,226.0,250.0
2023-07-30,P101,200.0,216.0
2023-07-31,P101,205.0,220.0
2023-08-01,P101,204.0,216.0
2023-08-02,P101,202.0,219.0
2023-08-03,P101,195.0,209.0
2023-08-04,P101,204.0,224.0
2023-08-05,P101,192.0,207.0
2023-08-06,P101,196.0,212.0
2023-08-07,P101,195.0,208.0
2023-08-08,P101,200.0,214.0
2023-08-09,P101,218.0,234.0
2023-08-10,P101,185.0,191.0
2023-08-11,P101,206.0,214.0
2023-08-12,P101,188.0,206.0
2023-08-13,P101,197.0,213.0
2023-08-14,P101,210.0,224.0
2023-08-15,P101,202.0,217.0
2023-08-16,P101,193.0,210.0
2023-08-17,P101,197.0,209.0
2023-08-18,P101,208.0,219.0
2023-08-19,P101,197.0,213.0
2023-08-20,P101,205.0,215.0
2023-08-21,P101,204.0,221.0
2023-08-22,P101,199.0,205.0
2023-08-23,P101,222.0,242.0
2023-08-24,P101,210.0,227.0
2023-08-25,P101,189.0,205.0
2023-08-26,P101,207.0,227.0
2023-08-27,P101,201.0,224.0
2023-08-28,P101,213.0,233.0
2023-08-29,P101,200.0,206.0
2023-08-30,P101,206.0,215.0
2023-08-31,P101,211.0,223.0
2023-09-01,P101,215.0,230.0
2023-09-02,P101,198.0,216.0
2023-09-03,P101,206.0,217.0
2023-09-04,P101,205.0,221.0
2023-09-05,P101,204.0,215.0
2023-09-06,P101,224.0,236.0
2023-09-07,P101,213.0,221.0
2023-09-08,P101,200.0,210.0
2023-09-09,P101,218.0,226.0
2023-09-10,P101,228.0,238.0
2023-09-11,P101,220.0,240.0
2023-09-12,P101,199.0,210.0
2023-09-13,P101,208.0,236.0
2023-09-14,P101,222.0,240.0
2023-09-15,P101,207.0,223.0
2023-09-16,P101,217.0,227.0
2023-09-17,P101,220.0,238.0
2023-09-18,P101,206.0,218.0
2023-09-19,P101,214.0,229.0
2023-09-20,P101,189.0,216.0
2023-09-21,P101,207.0,221.0
2023-09-22,P101,213.0,234.0
2023-09-23,P101,206.0,217.0
2023-09-24,P101,229.0,244.0
2023-09-25,P101,205.0,229.0
2023-09-26,P101,213.0,225.0
2023-09-27,P101,218.0,242.0
2023-09-28,P101,229.0,247.0
2023-09-29,P101,206.0,218.0
2023-09-30,P101,227.0,246.0
2023-10-01,P101,219.0,238.0
2023-10-02,P101,211.0,229.0
2023-10-03,P101,223.0,230.0
2023-10-04,P101,221.0,233.0
2023-10-05,P101,215.0,229.0
2023-10-06,P101,221.0,235.0
2023-10-07,P101,218.0,236.0
2023-10-08,P101,222.0,238.0
2023-10-09,P101,227.0,235.0
2023-10-10,P101,234.0,251.0
2023-10-11,P101,212.0,230.0
2023-10-12,P101,240.0,257.0
2023-10-13,P101,207.0,228.0
2023-10-14,P101,222.0,241.0
2023-10-15,P101,228.0,246.0
2023-10-16,P101,226.0,241.0
2023-10-17,P101,219.0,226.0
2023-10-18,P101,223.0,240.0
2023-10-19,P101,221.0,237.0
2023-10-20,P101,221.0,237.0
2023-10-21,P101,232.0,241.0
2023-10-22,P101,229.0,239.0
2023-10-23,P101,221.0,241.0
2023-10-24,P101,234.0,249.0
2023-10-25,P101,230.0,248.0
2023-10-26,P101,234.0,249.0
2023-10-27,P101,233.0,248.0
2023-10-28,P101,222.0,241.0
2023-10-29,P101,224.0,237.0
2023-10-30,P101,235.0,250.0
2023-10-31,P101,234.0,247.0
2023-11-01,P101,229.0,242.0
2023-11-02,P101,231.0,244.0
2023-11-03,P101,241.0,257.0
2023-11-04,P101,226.0,239.0
2023-11-05,P101,235.0,257.0
2023-11-06,P101,230.0,240.0
2023-11-07,P101,230.0,244.0
2023-11-08,P101,241.0,254.0
2023-11-09,P101,239.0,261.0
2023-11-10,P101,239.0,255.0
2023-11-11,P101,244.0,264.0
2023-11-12,P101,234.0,241.0
2023-11-13,P101,239.0,256.0
2023-11-14,P101,232.0,251.0
2023-11-15,P101,237.0,253.0
2023-11-16,P101,234.0,254.0
2023-11-17,P101,236.0,249.0
2023-11-18,P101,241.0,263.0
2023-11-19,P101,230.0,256.0
2023-11-20,P101,253.0,266.0
2023-11-21,P101,229.0,242.0
2023-11-22,P101,228.0,250.0
2023-11-23,P101,247.0,270.0
2023-11-24,P101,244.0,257.0
2023-11-25,P101,243.0,256.0
2023-11-26,P101,244.0,257.0
2023-11-27,P101,239.0,247.0
2023-11-28,P101,232.0,243.0
2023-11-29,P101,240.0,250.0
2023-11-30,P101,235.0,246.0
2023-12-01,P101,248.0,263.0
2023-12-02,P101,240.0,256.0
2023-12-03,P101,235.0,257.0
2023-12-04,P101,239.0,249.0
2023-12-05,P101,245.0,265.0
2023-12-06,P101,238.0,252.0
2023-12-07,P101,236.0,251.0
2023-12-08,P101,245.0,263.0
2023-12-09,P101,245.0,255.0
2023-12-10,P101,240.0,257.0
2023-12-11,P101,240.0,256.0
2023-12-12,P101,246.0,264.0
2023-12-13,P101,233.0,250.0
2023-12-14,P101,234.0,261.0
2023-12-15,P101,240.0,252.0
2023-12-16,P101,244.0,257.0
2023-12-17,P101,249.0,261.0
2023-12-18,P101,258.0,271.0
2023-12-19,P101,254.0,266.0
2023-12-20,P101,246.0,267.0
2023-12-21,P101,248.0,270.0
2023-12-22,P101,240.0,252.0
2023-12-23,P101,248.0,259.0
2023-12-24,P101,246.0,264.0
2023-12-25,P101,252.0,264.0
2023-12-26,P101,243.0,261.0
2023-12-27,P101,254.0,270.0
2023-12-28,P101,262.0,270.0
2023-12-29,P101,250.0,272.0
2023-12-30,P101,254.0,278.0
2023-12-31,P101,257.0,269.0
2024-01-01,P101,248.0,262.0
2024-01-02,P101,254.0,270.0
2024-01-03,P101,252.0,269.0
2024-01-04,P101,254.0,272.0
2024-01-05,P101,247.0,272.0
2024-01-06,P101,254.0,268.0
2024-01-07,P101,258.0,269.0
2024-01-08,P101,266.0,274.0
2024-01-09,P101,262.0,274.0
2024-01-10,P101,272.0,287.0
2024-01-11,P101,249.0,273.0
2024-01-12,P101,263.0,275.0
2024-01-13,P101,257.0,274.0
2024-01-14,P101,274.0,289.0
2024-01-15,P101,250.0,271.0
2024-01-16,P101,250.0,278.0
2024-01-17,P101,253.0,265.0
2024-01-18,P101,241.0,253.0
2024-01-19,P101,254.0,274.0
2024-01-20,P101,252.0,271.0
2024-01-21,P101,260.0,284.0
2024-01-22,P101,262.0,280.0
2024-01-23,P101,275.0,288.0
2024-01-24,P101,268.0,286.0
2024-01-25,P101,256.0,276.0
2024-01-26,P101,253.0,273.0
2024-01-27,P101,265.0,283.0
2024-01-28,P101,251.0,271.0
2024-01-29,P101,276.0,297.0
2024-01-30,P101,272.0,293.0
2024-01-31,P101,259.0,277.0
2024-02-01,P101,249.0,263.0
2024-02-02,P101,274.0,290.0
2024-02-03,P101,263.0,284.0
2024-02-04,P101,274.0,285.0
2024-02-05,P101,252.0,268.0
2024-02-06,P101,260.0,273.0
2024-02-07,P101,265.0,280.0
2024-02-08,P101,266.0,287.0
2024-02-09,P101,262.0,278.0
2024-02-10,P101,271.0,286.0
2024-02-11,P101,258.0,266.0
2024-02-12,P101,266.0,284.0
2024-02-13,P101,268.0,286.0
2024-02-14,P101,272.0,297.0
2024-02-15,P101,274.0,287.0
2024-02-16,P101,259.0,275.0
2024-02-17,P101,256.0,273.0
2024-02-18,P101,279.0,302.0
2024-02-19,P101,272.0,287.0
2024-02-20,P101,264.0,280.0
2024-02-21,P101,282.0,301.0
2024-02-22,P101,271.0,287.0
2024-02-23,P101,280.0,293.0
2024-02-24,P101,272.0,288.0
2024-02-25,P101,288.0,308.0
2024-02-26,P101,286.0,296.0
2024-02-27,P101,270.0,286.0
2024-02-28,P101,280.0,292.0
2024-02-29,P101,278.0,299.0
2024-03-01,P101,284.0,292.0
2024-03-02,P101,266.0,278.0
2024-03-03,P101,280.0,296.0
2024-03-04,P101,283.0,306.0
2024-03-05,P101,261.0,275.0
2024-03-06,P101,266.0,278.0
2024-03-07,P101,259.0,284.0
2024-03-08,P101,274.0,281.0
2024-03-09,P101,282.0,286.0
2024-03-10,P101,289.0,306.0
2024-03-11,P101,278.0,290.0
2024-03-12,P101,290.0,300.0
2024-03-13,P101,267.0,285.0
2024-03-14,P101,264.0,281.0
2024-03-15,P101,278.0,290.0
2024-03-16,P101,282.0,290.0
2024-03-17,P101,279.0,298.0
2024-03-18,P101,263.0,281.0
2024-03-19,P101,279.0,294.0
2024-03-20,P101,270.0,294.0
2024-03-21,P101,286.0,296.0
2024-03-22,P101,284.0,291.0
2024-03-23,P101,274.0,285.0
2024-03-24,P101,277.0,292.0
2024-03-25,P101,273.0,290.0
2024-03-26,P101,282.0,296.0
2024-03-27,P101,290.0,307.0
2024-03-28,P101,275.0,284.0
2024-03-29,P101,287.0,310.0
2024-03-30,P101,280.0,294.0
2024-03-31,P101,278.0,298.0
2024-04-01,P101,284.0,300.0
2024-04-02,P101,277.0,294.0
2024-04-03,P101,281.0,299.0
2024-04-04,P101,276.0,293.0
2024-04-05,P101,302.0,320.0
2024-04-06,P101,287.0,308.0
2024-04-07,P101,281.0,297.0
2024-04-08,P101,289.0,307.0
2024-04-09,P101,286.0,301.0
2024-04-10,P101,286.0,308.0
2024-04-11,P101,293.0,305.0
2024-04-12,P101,295.0,319.0
2024-04-13,P101,285.0,299.0
2024-04-14,P101,285.0,292.0
2024-04-15,P101,287.0,303.0
2024-04-16,P101,271.0,283.0
2024-04-17,P101,278.0,297.0
2024-04-18,P101,302.0,313.0
2024-04-19,P101,304.0,317.0
2024-04-20,P101,289.0,295.0
2024-04-21,P101,296.0,309.0
2024-04-22,P101,295.0,297.0
2024-04-23,P101,317.0,324.0
2024-04-24,P101,302.0,321.0
2024-04-25,P101,292.0,311.0
2024-04-26,P101,286.0,303.0
2024-04-27,P101,281.0,291.0
2024-04-28,P101,296.0,311.0
2024-04-29,P101,289.0,304.0
2024-04-30,P101,284.0,293.0
2024-05-01,P101,290.0,313.0
2024-05-02,P101,287.0,306.0
2024-05-03,P101,310.0,323.0
2024-05-04,P101,303.0,319.0
2024-05-05,P101,297.0,313.0
2024-05-06,P101,309.0,314.0
2024-05-07,P101,298.0,312.0
2024-05-08,P101,291.0,303.0
2024-05-09,P101,310.0,320.0
2024-05-10,P101,303.0,316.0
2024-05-11,P101,291.0,315.0
2024-05-12,P101,298.0,316.0
2024-05-13,P101,293.0,305.0
2024-05-14,P101,289.0,307.0
